Source ID *,Question ID *,Question type *,Question *,Option A,Option B,Option C,Option D,Option E,Options F...,Correct Answer *,Correct Answer 2,Correct Answer 3,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Hint 6+
Exercise_2_-_Greetings,ed091ac98c7040e091489b43f09e4e21,single_selection,New Year,Good Morning,Good Afternoon,Happy Birthday,Happy New Year,Good Evening,Merry Christmas,Happy New Year,,,,,,,,
Exercise_2_-_Greetings,66e4b020672741459f66a04b0db9f248,single_selection,Birthday,Good Morning,Good Afternoon,Happy Birthday,Happy New Year,Good Evening,Merry Christmas,Happy Birthday,,,,,,,,
Exercise_2_-_Greetings,0b9b9e173fd2461caf4f5678e72c7f9e,single_selection,Christmas,Good Morning,Good Afternoon,Happy Birthday,Happy New Year,Good Evening,Merry Christmas,Merry Christmas,,,,,,,,
Exercise_2_-_Greetings,1b184eaad09a4204b2caed4a8435696b,single_selection,Evening,Good Morning,Good Afternoon,Happy Birthday,Happy New Year,Good Evening,Merry Christmas,Good Evening,,,,,,,,
Exercise_1_-_Days_of_the_week,a5d55e2f46944a969c67bfaacee3a16f,multiple_selection,On which days do we go to school?,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday🍣Saturday,Monday,Tuesday,Wednesday,,,,,,
Exercise_3_-_Letters_of_the_alphabet,629bc124cb6b4250babc1df67a5c4a6d,multiple_selection,Select all the letters of the alphabet that are in lower case.,T,t,J,j,B,b,t,j,b,,,,,,
Exercise_5_-_Greetings_and_responses,5e20414d8df44a45838b117af99b25d3,single_selection,Afternoon,Good Morning,Good Afternoon,Happy Birthday,Happy New Year,Good Evening,Merry Christmas,Good Afternoon,,,,,,,,
Exercise_1_-_Days_of_the_week,78e1d716b14f449494f9baeda4eaaa3a,multiple_selection,Mention all the days of the week from the first day to the seventh day.,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday🍣Saturday🍣Sunday,Sunday,Monday,Tuesday,,,,,,
Exercise_3_-_Letters_of_the_alphabet,c972b4a022f34a01816028439f40f0eb,multiple_selection,Select all the letters of the alphabets that are in upper case.,a,A,Y,y,I,i,A,Y,I,,,,,,
Exercise_5_-_Greetings_and_responses,c24589bc30054b7683af1b331dfd3e67,single_selection,"How do you greet at the following times? 

Morning",Good Morning,Good Afternoon,Happy Birthday,Happy New Year,Good Evening,Merry Christmas,Good Morning,,,,,,,,
